district,official_2023,official_2024,official_2025,행구분,official_total,sigungu_code,households_2026q2,official_per_1000_households,guarantee_accident_count,guarantee_accident_amount,guarantee_accident_rate_pct,official_score,guarantee_score,district_context_score
종로구,5,14,15,자치구,34,11110,72503,0.46894611257465213,3,527000000,1.0,28.000000000000004,52.0,40.0
중구,2,10,7,자치구,19,11140,63882,0.2974233743464512,2,350000000,0.4,24.0,12.0,18.0
용산구,1,1,2,자치구,4,11170,101982,0.03922260791120002,5,1290000000,0.7,4.0,32.0,18.0
성동구,4,9,12,자치구,25,11200,133771,0.1868865449163122,1,300000000,0.2,16.0,4.0,10.0
광진구,26,44,64,자치구,134,11215,172165,0.7783231202625389,10,2350000000,1.4,36.0,72.0,54.0
동대문구,27,275,201,자치구,503,11230,180852,2.781279720434388,9,2033690000,1.0,80.0,52.0,66.0
중랑구,118,103,62,자치구,283,11260,190348,1.486750583142455,24,4903750000,3.3,64.0,100.0,82.0
성북구,92,123,56,자치구,271,11290,199807,1.3563088380286978,5,1445500000,0.8,56.00000000000001,40.0,48.0
강북구,63,67,57,자치구,187,11305,142815,1.30938626894934,6,1365000000,1.5,52.0,76.0,64.0
도봉구,60,60,38,자치구,158,11320,139118,1.135726505556434,8,1600000000,1.3,48.0,68.0,58.0
노원구,2,11,9,자치구,22,11350,217498,0.10115035540556695,6,1396750000,0.6,8.0,22.0,15.0
은평구,135,182,100,자치구,417,11380,214777,1.9415486760686664,6,1752000000,0.6,68.0,22.0,45.0
서대문구,31,109,60,자치구,200,11410,147178,1.3588987484542527,7,1682000000,1.2,60.0,64.0,62.0
마포구,44,86,34,자치구,164,11440,180580,0.908184738066231,4,760000000,0.3,40.0,8.0,24.0
양천구,126,138,90,자치구,354,11470,179105,1.9764942352251471,18,4477000000,1.8,72.0,82.0,77.0
강서구,614,585,428,자치구,1627,11500,274577,5.925478099039614,84,18031270000,2.9,92.0,96.0,94.0
구로구,183,209,135,자치구,527,11530,185143,2.8464484209502925,21,4129400000,2.1,84.0,88.0,86.0
금천구,216,271,288,자치구,775,11545,122059,6.34938841052278,9,1556000000,1.0,96.0,52.0,74.0
영등포구,84,213,201,자치구,498,11560,193619,2.572061626183381,30,7456770000,1.8,76.0,82.0,79.0
동작구,188,392,394,자치구,974,11590,188064,5.179087970052748,5,1111000000,0.6,88.0,22.0,55.0
관악구,383,1108,801,자치구,2292,11620,291311,7.867880031993299,16,4199500000,2.7,100.0,92.0,96.0
서초구,3,10,16,자치구,29,11650,173895,0.16676730210759366,5,1573500000,0.8,12.0,40.0,26.0
강남구,11,30,27,자치구,68,11680,244779,0.27780160879814036,5,1585000000,0.6,20.0,22.0,21.0
송파구,23,69,106,자치구,198,11710,289693,0.6834821690548271,16,3253500000,0.8,32.0,40.0,36.0
강동구,61,79,101,자치구,241,11740,223649,1.0775813886938908,13,2727500000,1.1,44.0,60.0,52.0
